refcode	metal	total_charge	multiplicity	elem_nr	m_ox	d_elec	hapticity	CN	geometry	geom_nr	rel_m	splitting
QOFVOW	Cr	0	4	24	3	3	True	4	Tetrahedral	8	1.027	-25.9
QOGLAZ	Co	0	4	27	2	7	False	4	Tetrahedral	8	0.992	-40.92
QOGNAD	Co	1	1	27	3	6	False	6	Octahedral	18	0.983	83.75
QOJDEZ	Ni	0	3	28	2	8	False	6	Octahedral	18	1.098	-38.86
QOKSOY	Fe	0	1	26	2	6	False	6	Octahedral	18	0.881	118.89
QOKYIY	Fe	0	1	26	0	6	True	5	Trigonal bipyramidal	13	0.911	108.68
QOLKIM	Fe	0	4	26	3	5	False	5	Square pyramidal	14	0.948	7.71
QOLZOH	Mn	0	6	25	2	5	False	6	Octahedral	18	1.115	-49.85
QOMLOU	Ni	0	3	28	2	8	False	5	Square pyramidal	14	1.085	-31.87
QOMQOZ	Fe	1	5	26	2	6	False	7	Pentagonal bipyramidal	23	1.166	-43.53
QOPWOK	Fe	0	3	26	2	6	False	4	Square planar	7	0.927	2.77
QOQKIQ	Ni	2	3	28	2	8	False	6	Octahedral	18	1.117	-49.8
QORDUY	Fe	-1	4	26	3	5	False	5	Square pyramidal	14	0.936	1.58
