refcode	metal	charge_cif
KIQMOM	Cr	3
KIRKUR	Cr	2
KIWMAG	Cr	3
KIWQOY	Cr	3
KIWZAT	Cr	3
KIYXUL	Cr	0
KOJBAO	Cr	6
KOJBES	Cr	6
KOJBIW	Cr	6
KOJBOC	Cr	6
KOJBUI	Cr	6
KOKHOI	Cr	3
KOLZAN	Cr	3
KOLZER	Cr	3
KOMREJ	Cr	3
KOQBAT	Cr	0
KUFDEW	Cr	0
KUGMAA	Cr	3
KUHBOG	Cr	0
KUHJOM	Cr	3
KUNWAU	Cr	0
KUSPUJ	Cr	3
KUSSIA	Cr	3
KUYRUS	Cr	3
LATSUU	Cr	0
LAXXEQ	Cr	3
LAYSEJ	Cr	0
LAYXAK	Cr	0
LDHPCR10	Cr	3
LECTIW	Cr	0
LEGFIN	Cr	3
LEGFOS	Cr	2
LEGFOT	Cr	3
LEMRIF	Cr	2
LENSOP	Cr	3
LENZUZ	Cr	0
LEWKEE	Cr	3
LEXQOV	Cr	3
LEYDOJ	Cr	3
LEYDUP	Cr	3
LEYSEN	Cr	3
LIBCRB	Cr	4
LIEDPA	Cr	3
LIJRAX	Cr	3
LIKCAK	Cr	3
LIMZAJ	Cr	2
LIXFOO	Cr	2
LIXFUU	Cr	2
LODXEI	Cr	3
LOHKAV	Cr	3
LOLBIZ	Cr	3
LONMOQ	Cr	0
LONMUW	Cr	0
LONRUC	Cr	3
LONWAM	Cr	3
LOPLOR	Cr	0
LORSUH	Cr	0
LORTAO	Cr	0
LOZTEC	Cr	3
LOZWIJ	Cr	2
LOZXOQ	Cr	3
LUBPOQ	Cr	3
LUCCIX	Cr	3
LUFCOE	Cr	3
LUGDUM	Cr	3
LUHHAA	Cr	0
LUKCIE	Cr	3
LUMMEL	Cr	3
LUNCAZ	Cr	0
LUNDON	Cr	0
LUYQII	Cr	2
LUYQOO	Cr	2
LUYQUU	Cr	2
LUYXEJ	Cr	2
MABBOJ	Cr	3
MACRCC	Cr	3
MACZEW	Cr	0
MAKZAC	Cr	3
MALSEY	Cr	0
MAMLER	Cr	3
MANQEY	Cr	3
MATHIZ	Cr	3
MATHOF	Cr	3
MATHUL	Cr	3
MATJOH	Cr	3
MATJUN	Cr	3
MATKAU	Cr	3
MAVHIA	Cr	2
MAVJAU	Cr	2
MAYSEK	Cr	2
MBZCRC	Cr	0
MCEACR	Cr	3
MCENCR	Cr	3
MEAMCR10	Cr	0
MEFQAS	Cr	3
MEHBAC	Cr	0
MEJXAB	Cr	1
MEPMEA	Cr	3
MESTCR	Cr	0
METHCR	Cr	0
MEWDIB	Cr	5
MEZBUO	Cr	2
MHPYCR	Cr	0
MIFXAC	Cr	2
MIFXOQ	Cr	2
MIPYOA	Cr	2
MIPYUG	Cr	2
MIPZAN	Cr	2
MIRVEP	Cr	2
MISKUU	Cr	0
MISLAB	Cr	0
MIVXEW	Cr	3
MIZWIC	Cr	2
MOJCOG	Cr	0
MOLPUZ	Cr	3
MOMCEX	Cr	3
MOMCIB	Cr	3
MOPGIH	Cr	3
MORRUG	Cr	3
MORWUL	Cr	0
MORXEW	Cr	0
MORXOG	Cr	0
MOSCAY	Cr	3
MOSWUM	Cr	2
MOSXAT	Cr	2
MOTCCR	Cr	3
MPEYCR	Cr	4
MSMPCR10	Cr	3
MUFJEC	Cr	3
MUFJIG	Cr	3
MUNKIP	Cr	2
MUNKUB	Cr	2
MUNLEM	Cr	2
MUNLIQ	Cr	2
MUNLOW	Cr	3
MUQNAN	Cr	2
MUQNER	Cr	2
MUQQOE	Cr	2
NAFNEO	Cr	2
NAHBAD	Cr	4
NAHBEH	Cr	4
NAJYAA	Cr	3
NAKJOZ	Cr	3
NAKXUU	Cr	3
NAMBEI	Cr	5
NAQDAL	Cr	5
NASPAY	Cr	0
NASPIG	Cr	0
NAZKUV	Cr	0
NEFWIF	Cr	0
NEQSAE	Cr	3
NEQTIN	Cr	3
NEVROV	Cr	2
NEXNAF	Cr	0
NEXNEJ	Cr	0
NEYWOD	Cr	2
NEYWUJ	Cr	3
NIBJEO	Cr	3
NIBJIS	Cr	3
NIBJOY	Cr	3
NIDHAJ	Cr	5
NIKRIK	Cr	3
NIMHUO	Cr	3
NINGAU	Cr	3
NOBHET	Cr	3
NOCZEK	Cr	6
NODHUK	Cr	2
NOFCUH	Cr	0
NOGFUL	Cr	4
NOGGEW	Cr	3
NOGWIQ	Cr	3
NOHKUQ	Cr	3
NOJJAX	Cr	3
NOMYIZ	Cr	2
NONTIW	Cr	3
NONTOC	Cr	3
NONTUI	Cr	3
NONVEU	Cr	2
NOXWUU	Cr	3
NOYBOS	Cr	2
NUMHAF	Cr	3
NUMYAV	Cr	5
NURVUR	Cr	0
NUSYAD	Cr	3
NUYLID	Cr	3
OBOQED	Cr	3
OBOSON	Cr	2
OCAQEO	Cr	0
OCAQIS	Cr	0
OCUZAQ	Cr	3
ODAXIA	Cr	3
ODAXOG	Cr	3
ODIHOY	Cr	2
ODIJAM	Cr	3
ODIJIU	Cr	3
OFAGUY	Cr	3
OFAHAF	Cr	4
OFAJOV	Cr	3
OFAJUB	Cr	3
OFIXEI	Cr	3
OGIYIN	Cr	3
OGOGEW	Cr	0
OGUXUK	Cr	3
OHUSIU	Cr	3
OJAYIH	Cr	3
OKAXUT	Cr	4
OKAYAA	Cr	4
OKOVIT	Cr	0
OKOVOZ	Cr	0
OKOWAM	Cr	0
OLUBUS	Cr	3
OMAKAO	Cr	5
OMAKES	Cr	5
OMAKIW	Cr	5
OMAWOO	Cr	0
OMAWUU	Cr	0
OMAXAB	Cr	0
OMEBEN	Cr	0
ONEKUP	Cr	3
ONELAW	Cr	3
OWODOV	Cr	3
OWOGUE	Cr	3
OYEFAA	Cr	3
PABGIL	Cr	2
PABZIC	Cr	3
PARCRT10	Cr	1
PAWVIS	Cr	0
PAXPAF	Cr	0
PAZDUQ	Cr	3
PAZJOP	Cr	0
PCBASC	Cr	0
PCRCEP10	Cr	0
PCTHFC	Cr	0
PEMKID	Cr	2
PEMKOJ	Cr	3
PEMSOP	Cr	0
PEMTAC	Cr	0
PEQMUU	Cr	3
PEZHOR	Cr	0
PHCBCR	Cr	0
PICYCR	Cr	0
PIFFOA	Cr	3
PIKHAT	Cr	1
PIKHEX	Cr	1
PIKHUN	Cr	1
PIKJAV	Cr	0
PINVAJ	Cr	0
PITBUP	Cr	3
PITROA	Cr	3
PIVJOT	Cr	3
PIVKEK	Cr	3
PIWPIU	Cr	0
PIXVUN	Cr	0
PIXXEE	Cr	2
PIXYAW	Cr	2
POBBUD	Cr	0
POFGEX	Cr	3
POFKIF	Cr	3
POGGUO	Cr	3
POHRUA	Cr	3
POJJIH	Cr	0
PORGOS	Cr	0
POTCDR	Cr	0
POTVID	Cr	0
POTVOJ	Cr	0
POTVUP	Cr	0
POTWAW	Cr	0
PUDPAG	Cr	3
PUGYIZ	Cr	0
