refcode	metal	charge_cif
DABSAB	Fe	2
DABSEF	Fe	2
DABSOP	Fe	2
DACJUN	Fe	2
DADDUJ	Fe	3
DADFAR	Fe	3
DADFOF	Fe	3
DADGAS	Fe	3
DADGIA	Fe	3
DADHIZ	Fe	2
DADJEX	Fe	3
DADJIB	Fe	0
DADLUR	Fe	2
DAGJON	Fe	2
DAGLUU	Fe	2
DAJBAS	Fe	2
DAJHED	Fe	2
DALPAK	Fe	2
DALPEO	Fe	2
DANVOE	Fe	3
DANVUK	Fe	3
DAPCIG	Fe	3
DAQHIO	Fe	2
DAQHOT	Fe	3
DAQHOU	Fe	2
DAQHUZ	Fe	3
DAQSUM	Fe	2
DAQVEZ	Fe	2
DAQXEY	Fe	3
DARLIU	Fe	3
DARLOA	Fe	3
DATZED	Fe	3
DAWKAO	Fe	2
DAWKES	Fe	2
DAWWEE	Fe	2
DAXXUW	Fe	3
DAYCUC	Fe	2
DECKAZ	Fe	2
DECKED	Fe	2
DECKON	Fe	2
DECKUT	Fe	2
DECLAA	Fe	2
DECLEE	Fe	2
DECQUZ	Fe	2
DECRAG	Fe	2
DECREK	Fe	2
DECROU	Fe	2
DECXUG	Fe	3
DECYAN	Fe	3
DEDJUS	Fe	2
DEDKED	Fe	2
DEDKII	Fe	2
DEDLUV	Fe	2
DEDMAC	Fe	2
DEDMEG	Fe	2
DEDNOQ	Fe	2
DEDTFE10	Fe	4
DEDWUE	Fe	2
DEFNUX	Fe	3
DEGNUB	Fe	3
DEGQUE	Fe	3
DEJCUR	Fe	2
DEJSUH	Fe	3
DEKDUV	Fe	2
DEKFAD	Fe	2
DEKFEH	Fe	2
DEKHEG	Fe	3
DEKHIK	Fe	3
DEKHUY	Fe	2
DELBEE	Fe	2
DELPOZ01	Fe	2
DEMBOP	Fe	2
DENXIE	Fe	3
DENYAZ	Fe	2
DEPBUV	Fe	3
DEPLAO	Fe	2
DEPMUJ	Fe	2
DEPNAQ	Fe	2
DEQPAT	Fe	3
DESCIN	Fe	3
DESSAW	Fe	2
DETBEJ	Fe	3
DETTOL	Fe	2
DEXFOB	Fe	2
DEXPAX05	Fe	3
DEXXEM	Fe	2
DEXZAK	Fe	3
DEYNAX	Fe	2
DEYNEB	Fe	2
DEYZIS	Fe	3
DIBJED	Fe	2
DIDROX	Fe	3
DIDXEV	Fe	2
DIFBAX	Fe	2
DIFBIG	Fe	2
DIFBOM	Fe	2
DIFSOA	Fe	3
DIFXEX	Fe	2
DIHCUV	Fe	2
DIHZEC	Fe	3
DIQFOY	Fe	3
DIRKEU10	Fe	3
DISQEB	Fe	2
DISWEI	Fe	2
DISWIM	Fe	2
DISWOS	Fe	2
DIXDIX	Fe	3
DIXLUR10	Fe	2
DMTCFE	Fe	3
DOBRAQ	Fe	2
DOBRIY	Fe	2
DOBZUS	Fe	2
DOCNFE	Fe	2
DODVUP	Fe	2
DODWUQ	Fe	2
DOFGAH	Fe	2
DOGHOY	Fe	3
DOGSAT	Fe	2
DOHWIG	Fe	0
DOJSOM	Fe	2
DOMDOA	Fe	2
DOMLOH	Fe	3
DOMMAU	Fe	3
DOMNEZ	Fe	2
DOMNID	Fe	2
DOMQON	Fe	2
DONBAK	Fe	2
DONFOC	Fe	2
DOPBOA	Fe	4
DOPQOQ	Fe	3
DOQRAC	Fe	2
DOQRIK	Fe	2
DORPIJ	Fe	2
DOSQOS	Fe	2
DOSQUY	Fe	3
DOWZEV	Fe	2
DOXXIY	Fe	3
DOXXOE	Fe	3
DOYKIN	Fe	2
DOYROZ	Fe	3
DOZROA	Fe	2
DUBFOY	Fe	2
DUBJUG	Fe	3
DUBSUR	Fe	2
DUCCEJ	Fe	3
DUCDIP	Fe	2
DUCJUG	Fe	3
DUCKAN	Fe	3
DUCKIX	Fe	3
DUDDUD	Fe	2
DUDHUH	Fe	2
DUDSAZ	Fe	2
DUDTUS	Fe	2
DUDVOO	Fe	3
DUFLEW	Fe	2
DUFLUM	Fe	2
DUGNOI	Fe	3
DUGPIF	Fe	2
DUHVUY	Fe	2
DUJCEQ	Fe	4
DUKJIE	Fe	2
DUKYEN	Fe	2
DULCET	Fe	3
DULCOF	Fe	2
DULNUT	Fe	2
DULYEQ01	Fe	2
DUMFEX	Fe	3
DUPLOP	Fe	2
DURDEZ	Fe	2
DUSMAH	Fe	2
DUSMUB	Fe	2
DUSSOB	Fe	2
DUVQAN	Fe	2
DUWHIO03	Fe	2
DUXBIJ	Fe	2
DUXGUA	Fe	2
DUZJAM	Fe	2
EACYNF	Fe	1
EBEBUI	Fe	2
EBIHOP	Fe	3
EBIRAL	Fe	2
EBIREP	Fe	2
EBIRIT	Fe	2
EBORIW	Fe	2
EBOTIY	Fe	2
EBOVAU	Fe	2
EBOZOM	Fe	2
EBUPUN	Fe	3
ECAJOH	Fe	2
ECAKUP	Fe	2
ECANEC	Fe	3
ECELII	Fe	2
ECEWAL	Fe	2
ECIHOP	Fe	2
ECIHUV	Fe	2
ECOHOT	Fe	2
ECOPAO	Fe	3
ECOPES	Fe	3
ECOPIV	Fe	3
ECOPOC	Fe	3
ECOWEZ	Fe	3
ECOWID	Fe	3
ECUFIS	Fe	2
ECUWUU	Fe	3
EDAYOY	Fe	2
EDECEX	Fe	3
EDEZEU	Fe	2
EDIDED	Fe	2
EDIDIH	Fe	2
EDIGON	Fe	2
EDIRAN	Fe	2
EDIRER	Fe	2
EDISOA	Fe	2
EDOXEC	Fe	2
EDUKUL	Fe	2
EFEWAO	Fe	2
EFIWAR	Fe	3
EFUSOP	Fe	0
EFUSUV	Fe	0
EGAMAD	Fe	0
EGAMEH	Fe	2
EGAMUX	Fe	2
EGEMEI	Fe	3
EGEMOS	Fe	3
EGEMUY	Fe	3
EGFEMG10	Fe	3
EGICAZ	Fe	2
EGIPOC	Fe	2
EGUVOR	Fe	2
EGUZUB	Fe	2
EHABAQ	Fe	2
EHAXIW	Fe	1
EHEJIL	Fe	0
EHEWOF	Fe	2
EHEXOE	Fe	3
EHIDUX	Fe	2
EHOPIA	Fe	2
EHULEA	Fe	2
EHUYEN	Fe	2
EJARUE	Fe	3
EJATEO	Fe	2
EJEDUV	Fe	3
EJELIO	Fe	2
EJODUF	Fe	3
EJOGIW	Fe	3
EJOJOC	Fe	2
EJOJUI	Fe	3
EJONEW	Fe	2
EJONOG	Fe	3
EJUVUC	Fe	3
EKABUO	Fe	2
EKACAV	Fe	2
EKACOJ	Fe	3
EKACUP	Fe	3
EKAGOP	Fe	2
EKAHAC	Fe	2
EKAHIK	Fe	2
EKAHON	Fe	2
EKAKEI	Fe	2
EKAKUY	Fe	2
EKATAM	Fe	3
EKINAN	Fe	2
EKIVUS	Fe	2
EKIWAZ	Fe	2
EKIWED	Fe	2
EKIXIF	Fe	2
EKIXOL	Fe	2
EKOTIJ	Fe	3
EKOTOP	Fe	3
ELAKIL	Fe	0
ELANOV	Fe	3
ELIRUN	Fe	3
ELITOJ	Fe	3
ELUJUQ	Fe	3
ELUYEP	Fe	3
EMAKEI	Fe	3
EMEJAH	Fe	2
EMETAT	Fe	3
EMEVAT	Fe	2
EMIPIZ01	Fe	2
EMOKUP	Fe	2
EMULUW	Fe	2
EMUNOS	Fe	3
EMUPEK	Fe	2
ENEKOZ	Fe	2
ENUHED	Fe	2
EPAVUO	Fe	2
EPIMEX	Fe	2
EPIMIB	Fe	2
EPIMOH	Fe	2
EPIMUN	Fe	2
EPINAU	Fe	2
EPIQAY	Fe	2
EPOWAI	Fe	3
EQACEF	Fe	3
EQOTAH	Fe	3
EQUMUY	Fe	3
EQUNAF	Fe	3
ERADIL	Fe	2
ERANIV	Fe	2
EREHAK	Fe	2
EREHEO	Fe	2
ERERAV	Fe	3
ERIMEZ02	Fe	3
ERUPAJ	Fe	0
ESAHIP	Fe	3
ESAMEQ	Fe	3
ESISOQ	Fe	2
ESIZAJ	Fe	3
ESOSOW05	Fe	2
ESOVIS	Fe	2
ESUQOY	Fe	2
ETECAI	Fe	2
ETECEM	Fe	2
ETENUN	Fe	3
ETEPAV	Fe	3
ETEPEZ	Fe	3
ETINAX	Fe	3
ETINEB	Fe	3
ETINIF	Fe	3
ETOGAW	Fe	2
ETOGEA	Fe	2
ETOHIF	Fe	2
ETOHOL	Fe	2
ETOHUR	Fe	2
ETUGIK	Fe	2
ETUHIM	Fe	2
ETUSOC	Fe	2
EVIKUR	Fe	3
EVILAY	Fe	3
EVILEC	Fe	3
EVILIG	Fe	3
EVILOM	Fe	3
EVILUS	Fe	3
EWABUA	Fe	2
EWALET	Fe	2
EWASUS02	Fe	3
EWATAZ02	Fe	3
EWECIT	Fe	2
EWEZEN	Fe	3
EWIGEY	Fe	2
EWIVAI	Fe	2
EWIVEM	Fe	2
EWIVIQ	Fe	2
EWOBEX	Fe	3
EWOQAI	Fe	3
EXARAY	Fe	2
EXAWEF	Fe	3
EXAWIJ	Fe	3
EXAWUV	Fe	3
EXOMOU	Fe	2
EXOWET	Fe	2
EXOWIX	Fe	2
EXOWOD	Fe	2
EXUBIK	Fe	3
EXUYON	Fe	3
EYAPIF	Fe	2
EYAPUP	Fe	2
EYEJUN	Fe	3
EYEVAF	Fe	2
EYEYOW	Fe	2
EYEYUC	Fe	2
EYEZAJ	Fe	2
EYEZEN	Fe	2
EYIFOH	Fe	3
EYIRUA	Fe	2
EYITAJ	Fe	2
EYOCAY	Fe	2
FACCES	Fe	2
FADCEU	Fe	3
FADGAS	Fe	3
FADRAE	Fe	2
FADVUC	Fe	2
FAFROV	Fe	3
FAGNAD	Fe	2
FAGVIT	Fe	3
FAHSEP01	Fe	2
FAHSIT01	Fe	2
FAHXOB	Fe	2
FAJFUS	Fe	2
FAJSUH	Fe	2
FANJAF	Fe	0
FANQUI	Fe	2
FAPBUV	Fe	2
FAPSAT	Fe	0
FAQBEH	Fe	0
FAQBIL	Fe	0
FAQBOR	Fe	0
FARYUU	Fe	3
FARZAB	Fe	3
FASLES	Fe	3
FASLIW	Fe	3
FASNES	Fe	2
FASSEX	Fe	0
FAXFUH	Fe	2
FAYWEI	Fe	3
FEBMAB	Fe	2
FEBOAH02	Fe	3
FEBPIM	Fe	2
FEBPYC03	Fe	2
FECZFE	Fe	0
FEDCOJ	Fe	2
FEDCUP	Fe	2
FEDQUD	Fe	2
FEDRAK	Fe	2
FEDREO	Fe	2
FEFCEB	Fe	2
FEGKEK	Fe	2
FEGVOE	Fe	2
FEGWET	Fe	3
FEJBEC	Fe	3
FEJBOM	Fe	2
FEJJAG	Fe	2
FEJKAJ	Fe	3
FEJNAK	Fe	3
FEJNEO	Fe	3
FEKLUC	Fe	2
FEKPUG	Fe	2
FEKQUK	Fe	2
FEKREV	Fe	2
FEKSIA	Fe	2
FEKYEA	Fe	2
FEMJIS	Fe	3
FEMQIX	Fe	2
FEMTBH	Fe	3
FEMYAA	Fe	3
FENCIL	Fe	2
FENFEM	Fe	2
FENLEP	Fe	2
FEPAST10	Fe	2
FEPHNA10	Fe	3
FEPICC43	Fe	2
FEQMAQ	Fe	2
FERBEK	Fe	2
FESSEC	Fe	3
FESSIG	Fe	3
FESSOM	Fe	3
FESVEF	Fe	2
FESWIM	Fe	2
FESYAD	Fe	3
FESYEH	Fe	3
FESZOS	Fe	3
FETHAC	Fe	2
FETPYR	Fe	2
FETRIF	Fe	3
FETSCN	Fe	2
FEVFET	Fe	2
FEVKAS	Fe	3
FEVMIC	Fe	3
FEWBIU	Fe	2
FEWFUI	Fe	3
FEWRAA	Fe	2
FEWREG	Fe	2
FEWRIK	Fe	2
FEZDIA	Fe	3
FEZXUF	Fe	3
FEZYAM	Fe	3
