refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
AMOGEO	Cu	2	7777	{1: 0.251887, 2: 0.000653, 3: 0.48109}	2
AMOGIT	Cu	2	7777	{1: 0.027838, 2: 1e-06, 3: 0.761432}	3
AMOGOA	Cu	1	1	{1: 0.097754, 2: 0.614581, 3: 1.233498}	3
AMORCU	Cu	2	7777	{1: 0.058557, 2: 0.000179, 3: 0.778355}	2
AMPCBZ	Cu	2	7777	{1: 0.156772, 2: 0.000114, 3: 0.661081}	2
AMPCUC11	Cu	2	7777	{1: 0.131466, 2: 0.00027, 3: 0.757786}	2
AMPRCU	Cu	2	7777	{1: 0.154633, 2: 0.001016, 3: 0.674513}	2
AMUDAP	Cu	1	7777	{1: 0.032617, 2: 0.371515, 3: 9999}	3
AMUMOM	Cu	2	7777	{1: 0.006992, 2: 0.000299, 3: 0.866978}	2
AMUREG	Cu	2	7777	{1: 0.063596, 2: 6.7e-05, 3: 0.465084}	4
AMUWIQ	Cu	2	7777	{1: 0.365199, 2: 0.00158, 3: 0.325991}	3
AMUXAJ	Cu	2	7777	{1: 0.348668, 2: 0.001171, 3: 0.368645}	4
AMUXEN	Cu	2	7777	{1: 0.188381, 2: 0.000121, 3: 0.579986}	3
ANAPUD	Cu	2	7777	{1: 0.256679, 2: 0.001412, 3: 0.444691}	2
ANAXEU	Cu	2	7777	{1: 0.102861, 2: 1e-06, 3: 0.598037}	3
ANCAFC	Cu	2	7777	{1: 0.251459, 2: 1.1e-05, 3: 0.560872}	4
ANCTCU	Cu	9999	7777	{1: 0.215815, 2: 2.7e-05, 3: 0.568207}	3
ANEBAY	Cu	2	7777	{1: 0.180438, 2: 0.010205, 3: 0.652857}	2
ANECED	Cu	2	7777	{1: 0.026454, 2: 0.000177, 3: 0.764448}	2
ANEGOR	Cu	1	7777	{1: 0.011586, 2: 0.197298, 3: 9999}	2
ANEMAJ	Cu	2	7777	{1: 0.237812, 2: 0.000445, 3: 0.49365}	2
ANEMOX	Cu	2	7777	{1: 0.280061, 2: 3.1e-05, 3: 0.417987}	2
