refcode	metal	charge_cif
AYELUL	Cu	2
AYESAA	Cu	1
AYESUU	Cu	2
AYIFOF	Cu	2
AYIMAW	Cu	2
AYIMEC	Cu	2
AYINUS	Cu	1
AYIQEF	Cu	2
AYIRAC	Cu	2
AYIRUW	Cu	2
AYIXIQ	Cu	2
AYIZEO	Cu	2
AYOBEW	Cu	2
AYODUO	Cu	2
AYOFOJ	Cu	2
AYOFUP	Cu	2
AYOGAW	Cu	2
AYOGEA	Cu	2
AYOHUS	Cu	2
AYOJUU	Cu	2
AYOLOP	Cu	2
AYOLOQ	Cu	2
AYUTEV	Cu	2
AYUXOJ	Cu	2
AZABIM	Cu	2
AZAXUU	Cu	1
AZAYIK	Cu	2
AZAZAC	Cu	2
AZEFUG	Cu	2
AZELIC	Cu	2
AZELOH	Cu	2
AZEMEY	Cu	2
AZEPUR	Cu	2
AZIPAB	Cu	2
AZIVOV	Cu	2
AZIWAI	Cu	2
AZIZEQ	Cu	2
AZIZIU	Cu	2
AZIZOA	Cu	2
AZIZUG	Cu	2
AZODEZ	Cu	2
AZUKIP	Cu	2
AZURCU	Cu	2
BABCOY	Cu	2
BABFIX	Cu	2
BABJOH	Cu	2
BABMUQ	Cu	2
BABNAV	Cu	1
BABNAX	Cu	2
BABNEZ	Cu	1
BABNID	Cu	1
BABTAZ	Cu	2
BABTIH	Cu	2
BABTIJ	Cu	2
BABZAJ	Cu	3
BABZEN	Cu	2
BACDUE	Cu	2
BACHAP01	Cu	2
BACHIX	Cu	2
BACHOD	Cu	2
BACHUJ	Cu	2
BACJAR	Cu	2
BACKAT	Cu	2
BACKEX	Cu	2
BACMUO	Cu	2
BACYOU	Cu	2
BACYUA	Cu	2
BADDOC	Cu	2
BADZUB	Cu	2
BAENCU	Cu	2
BAEPCU	Cu	2
BAEPYC	Cu	2
BAFFOD	Cu	1
BAFMOK	Cu	2
BAFROR	Cu	1
BAFSAC	Cu	2
BAGDUM	Cu	1
BAGPIJ	Cu	2
BAHJOL	Cu	2
BAHKUS	Cu	2
BAHMAA	Cu	2
BAHMON	Cu	1
BAHQEI	Cu	1
BAHQIM	Cu	1
BAHQOS	Cu	1
BAHTIN	Cu	2
BAHVUB	Cu	2
BAHVUE	Cu	2
BAHWAL	Cu	2
BAHZIT	Cu	2
BAJQOU	Cu	1
BAJZAO	Cu	2
BAKCIB	Cu	1
BAKFAW	Cu	2
BAKPUY	Cu	2
BAKWUI	Cu	2
BALCEY	Cu	2
BALCIC	Cu	2
BALCOI	Cu	2
BALDEZ	Cu	2
BALKUW	Cu	2
BALLAD	Cu	2
BALLEH	Cu	2
BAMFEA	Cu	2
BAMGAY	Cu	2
BAMNIP	Cu	2
BAMNOV	Cu	2
BAMPCU	Cu	2
BAMXET	Cu	2
BANQAK	Cu	2
BANTOB	Cu	2
BAPLAG	Cu	1
BAPLEK	Cu	1
BAPLIO	Cu	1
BAPLOU	Cu	1
BAPLUA	Cu	1
BAPMOV	Cu	2
BAPPUD	Cu	2
BAPTEU	Cu	2
BAPTOB	Cu	2
BAQDIG	Cu	2
BAQDUS	Cu	2
BAQNOY	Cu	2
BAQPAM	Cu	2
BAQPOA	Cu	2
BAQQAN	Cu	2
BAQRER	Cu	2
BAQRUG	Cu	2
BARGEH	Cu	2
BARGUX	Cu	2
BARPCU10	Cu	2
BASLOW	Cu	2
BASNAL	Cu	2
BASPAN	Cu	2
BATBON	Cu	1
BATGAG	Cu	2
BATGOV	Cu	2
BATPUK	Cu	2
BATWAX	Cu	2
BATWEB	Cu	2
BATWOL	Cu	2
BAVGUD	Cu	2
BAVHAK	Cu	2
BAVRIC	Cu	2
BAVROI	Cu	2
BAVSUP	Cu	2
BAVTAW	Cu	2
BAVXEB	Cu	2
BAXQIC	Cu	2
BAYPIA	Cu	2
BAYTAY	Cu	2
BAYYEF	Cu	2
BAYYIJ	Cu	2
BAYZIK	Cu	2
BAZDOX	Cu	2
BAZDUD	Cu	2
BAZNCU	Cu	2
BCULUT	Cu	2
BEACUN	Cu	2
BEBDES	Cu	2
BEBMEA	Cu	2
BEBQEG	Cu	2
BEBTEJ	Cu	1
BEBTIN	Cu	1
BECDUK	Cu	1
BECFEW	Cu	1
BECFIA	Cu	1
BECFOG	Cu	1
BECMUS02	Cu	2
BECSIN	Cu	2
