refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
FITBOZ	Fe	9999	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	4
FITFOD	Fe	2	7777	{2: 0.008268, 3: 0.057155, 4: 9999, 6: 9999}	2
FITTNS	Fe	2	8888	{2: 9999, 3: 0.573358, 4: 9999, 6: 9999}	3
FIWXEP	Fe	2	2	{2: 5.6e-05, 3: 0.674324, 4: 9999, 6: 9999}	1
FIYFEB	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	2
FIYHED	Fe	3	3	{2: 0.628634, 3: 0.474991, 4: 9999, 6: 9999}	2
FIZXUI	Fe	2	2	{2: 0.084627, 3: 0.856826, 4: 9999, 6: 9999}	3
FIZZUM	Fe	3	7777	{2: 0.084948, 3: 0.177042, 4: 9999, 6: 9999}	2
FOBREV	Fe	2	2	{2: 0.000538, 3: 0.649914, 4: 9999, 6: 9999}	1
FOBRIZ	Fe	3	7777	{2: 0.156572, 3: 0.086766, 4: 9999, 6: 9999}	2
FOCTAT	Fe	2	2	{2: 3.5e-05, 3: 0.785904, 4: 9999, 6: 9999}	2
FOCTEZ	Fe	2	2	{2: 0.06893, 3: 0.823051, 4: 9999, 6: 9999}	3
FOFPIB	Fe	3	7777	{2: 0.296356, 3: 1.9e-05, 4: 9999, 6: 9999}	4
FOFQOI	Fe	3	3	{2: 0.561665, 3: 7e-06, 4: 9999, 6: 3.103226}	2
FOGFIS	Fe	2	2	{2: 0.000207, 3: 0.636458, 4: 9999, 6: 9999}	3
FOGLEV	Fe	2	7777	{2: 0.126984, 3: 0.105217, 4: 9999, 6: 9999}	2
FOHNAS	Fe	2	7777	{2: 0.000146, 3: 0.000722, 4: 9999, 6: 9999}	5
FOKPAY	Fe	3	7777	{2: 0.247257, 3: 0.035198, 4: 9999, 6: 9999}	2
FOLDIT	Fe	3	7777	{2: 0.005905, 3: 0.161929, 4: 9999, 6: 9999}	3
FOLXIQ	Fe	2	2	{2: 0.001068, 3: 0.646642, 4: 9999, 6: 9999}	2
FOLXOW	Fe	2	2	{2: 0.001672, 3: 0.649864, 4: 9999, 6: 9999}	2
FOLXUC	Fe	2	7777	{2: 0.010223, 3: 0.00012, 4: 9999, 6: 9999}	3
FONFAS	Fe	3	7777	{2: 0.001078, 3: 0.171315, 4: 9999, 6: 9999}	2
FONGEV	Fe	2	2	{2: 0.035651, 3: 0.794403, 4: 9999, 6: 9999}	2
FONLAW	Fe	2	8888	{2: 9999, 3: 0.851013, 4: 9999, 6: 9999}	4
FONNIH	Fe	3	3	{2: 0.574405, 3: 0.393554, 4: 9999, 6: 9999}	2
FONPAB	Fe	9999	7777	{2: 0.001606, 3: 0.000214, 4: 9999, 6: 9999}	2
FONPIJ	Fe	3	7777	{2: 0.000673, 3: 0.070588, 4: 9999, 6: 9999}	2
FONPUT	Fe	0	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	2
FOQBOC	Fe	2	8888	{2: 9999, 3: 0.543061, 4: 9999, 6: 9999}	4
FOQNOP	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	2
FORXIV	Fe	3	7777	{2: 0.001084, 3: 0.164689, 4: 9999, 6: 9999}	4
FOSJOO	Fe	2	2	{2: 0.00267, 3: 0.756158, 4: 9999, 6: 9999}	2
FOSKEF	Fe	2	2	{2: 0.077062, 3: 0.822567, 4: 9999, 6: 9999}	4
FOSREN	Fe	2	7777	{2: 0.04046, 3: 0.026594, 4: 9999, 6: 9999}	2
FOSSUD01	Fe	9999	2	{2: 0.088197, 3: 0.795821, 4: 9999, 6: 9999}	1
FOTNEI	Fe	2	2	{2: 0.000414, 3: 0.735998, 4: 9999, 6: 9999}	3
FOTZET	Fe	0	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	3
FOVJEG	Fe	3	7777	{2: 0.293299, 3: 0.000236, 4: 9999, 6: 9999}	2
FOXROB	Fe	2	2	{2: 0.032641, 3: 0.800495, 4: 9999, 6: 9999}	2
FOYYAU03	Fe	2	7777	{2: 0.095239, 3: 0.058871, 4: 9999, 6: 9999}	2
FPMAFE10	Fe	9999	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	1
FRMTFE	Fe	2	8888	{2: 9999, 3: 0.791872, 4: 9999, 6: 9999}	3
FUCSOL	Fe	0	8888	{2: 9999, 3: 0.613218, 4: 9999, 6: 9999}	2
FUDNIB	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	1
FUFJAS	Fe	2	7777	{2: 0.102046, 3: 0.068809, 4: 9999, 6: 9999}	3
FUFMAW	Fe	2	7777	{2: 0.176633, 3: 0.177699, 4: 9999, 6: 9999}	3
FUFZAI	Fe	3	7777	{2: 0.073644, 3: 0.027345, 4: 9999, 6: 9999}	3
FUGNIE	Fe	3	3	{2: 0.659853, 3: 0.052951, 4: 9999, 6: 2.986128}	1
FUGNOL	Fe	2	2	{2: 0.020375, 3: 0.699969, 4: 9999, 6: 9999}	2
FUHVIN	Fe	0	3	{2: 9999, 3: 0.424546, 4: 9999, 6: 9999}	2
FUJQAC	Fe	3	3	{2: 0.73687, 3: 0.141351, 4: 9999, 6: 2.892396}	1
FUJVEL	Fe	2	8888	{2: 9999, 3: 0.927875, 4: 9999, 6: 9999}	3
FULZAN	Fe	9999	8888	{2: 9999, 3: 0.737078, 4: 9999, 6: 9999}	2
FUMYEU	Fe	3	7777	{2: 0.084482, 3: 0.16618, 4: 9999, 6: 9999}	3
FUPSAM	Fe	2	2	{2: 0.000211, 3: 0.687125, 4: 9999, 6: 9999}	1
FURPEO	Fe	2	3	{2: 9999, 3: 0.059277, 4: 9999, 6: 9999}	5
FURROZ	Fe	0	8888	{2: 9999, 3: 0.888653, 4: 9999, 6: 9999}	2
FURTUI	Fe	2	7777	{2: 0.000176, 3: 0.415901, 4: 9999, 6: 9999}	2
FUSFIL	Fe	2	7777	{2: 0.05541, 3: 0.000724, 4: 9999, 6: 9999}	2
FUSFOR	Fe	2	7777	{2: 0.052387, 3: 0.003689, 4: 9999, 6: 9999}	2
FUSWUO	Fe	2	2	{2: 0.000108, 3: 0.68505, 4: 9999, 6: 9999}	2
FUSXEZ	Fe	2	2	{2: 1.9e-05, 3: 0.698736, 4: 9999, 6: 9999}	3
FUTDOO	Fe	9999	7777	{2: 0.017125, 3: 0.068709, 4: 9999, 6: 9999}	4
FUTTIA	Fe	2	2	{2: 0.007916, 3: 0.765593, 4: 9999, 6: 9999}	2
