refcode	metal	charge_cif
GABXUD	Mn	3
GACCIW	Mn	2
GACSIM	Mn	2
GAHXUK	Mn	2
GAJCEC	Mn	2
GALMAH	Mn	2
GAMFIK	Mn	2
GAMSOC	Mn	2
GAQDUX	Mn	4
GAQFEJ	Mn	3
GAQWIE	Mn	2
GARQIB	Mn	2
GARQOG	Mn	2
GASCEJ	Mn	2
GAWRAZ	Mn	2
GAYMAU	Mn	3
GAYXEJ	Mn	2
GEBSEN	Mn	2
GEJKIP	Mn	2
GELRIY	Mn	1
GEMZON	Mn	1
GENBUW	Mn	1
GENVOM	Mn	2
GEPBAE	Mn	2
GEPBEJ	Mn	2
GEVKAW	Mn	2
GEXJOI	Mn	2
GEXNOO	Mn	2
GEZJAW	Mn	2
GIBDOM	Mn	3
GIBDUS	Mn	3
GICDAA	Mn	3
GICKEJ	Mn	2
GICNEN	Mn	2
GIDHAC10	Mn	2
GIDWOF	Mn	2
GIGDAC	Mn	2
GIGZAY	Mn	2
GIHJEP	Mn	2
GIHVAX	Mn	2
GIJKEP	Mn	2
GIKLAQ	Mn	2
GIKLEU	Mn	2
GIMFOY	Mn	3
GIMMUK	Mn	1
GIMXIK	Mn	3
GIQHEU	Mn	2
GIQMUO	Mn	2
GIQZAH	Mn	2
GIRHAQ	Mn	2
GISHIZ	Mn	3
GISHOF	Mn	3
GIXRIO	Mn	1
GOBNOB	Mn	2
GOCBAB	Mn	2
GODHIQ	Mn	2
GODHIS	Mn	4
GODRIB	Mn	3
GOGBEJ	Mn	2
GOGCOV	Mn	3
GOGJOC	Mn	2
GOHRIG	Mn	2
GOJNID	Mn	2
GOJTOO	Mn	1
GOJVAC	Mn	1
GOJVEG	Mn	1
GOKREF	Mn	2
GOLQAA	Mn	2
GOMBIU	Mn	2
GOMBUI	Mn	2
GOMVEK	Mn	2
GONTIM	Mn	1
GONTOS	Mn	1
GONTUY	Mn	1
GONZOB	Mn	2
GOQPUZ	Mn	2
GOQZIX	Mn	2
GORHED	Mn	3
GORHIH	Mn	3
GOSWOA	Mn	2
GOSXER	Mn	2
GOTQIR	Mn	3
GOTQOX	Mn	3
GOTQUD	Mn	3
GOVDOK	Mn	2
GOWSUI	Mn	3
GOWTAP	Mn	3
GOWTET	Mn	3
GOXXEW	Mn	2
GOYGEJ	Mn	2
GUDKUL	Mn	3
GUGDIX	Mn	2
GUHCIX	Mn	2
GUHJEY	Mn	3
GUJKAX	Mn	2
GURFOP	Mn	2
GUTRES	Mn	2
GUVMUH	Mn	1
GUVNAO	Mn	1
GUWMUH	Mn	2
GUXJOY	Mn	2
GUXNOD	Mn	2
GUYDEJ	Mn	2
GUZLIW	Mn	2
HABXUF	Mn	3
HADVEO	Mn	2
HAFBEV	Mn	2
HAHFIH	Mn	2
HAHXOE	Mn	2
HAHYAR	Mn	2
HAHYEV	Mn	2
HAJBAY	Mn	2
HAJDUT	Mn	2
HAMHEI	Mn	3
HARJEP	Mn	3
HARJIT	Mn	3
HATMUL	Mn	1
HATNEW	Mn	1
HATNOG	Mn	1
HATNUM	Mn	1
HATPAU	Mn	1
HAWBEO	Mn	2
HAWNOK	Mn	1
HAWNUQ	Mn	1
HAXTEH	Mn	2
HAYCER	Mn	2
HAYFEU	Mn	2
HAYSOQ	Mn	2
HAYTUX	Mn	2
HAZSUW	Mn	2
HAZTAD	Mn	2
HEDWIZ	Mn	2
HEHSIW	Mn	2
HEHVEV	Mn	3
HENFEL	Mn	2
HENVEE	Mn	2
HENVII	Mn	2
HESPOL	Mn	2
HETNEA	Mn	2
HETROO	Mn	2
HETRUU	Mn	3
HEVCEQ	Mn	2
HEVFEU	Mn	2
HEWQAC	Mn	2
HEXGUP	Mn	2
HIFFUY	Mn	3
HIFGIM	Mn	2
HIJDOU	Mn	4
HIKSUQ	Mn	3
HIKTAX	Mn	3
HIKYIM	Mn	3
HILGUF	Mn	3
HILHOZ	Mn	2
HILKIX	Mn	2
HILSIG	Mn	2
HIMLIZ	Mn	3
HIMLOF	Mn	3
HIPKUO	Mn	2
HIPZEO	Mn	2
HIQGEU	Mn	2
HIQKAU	Mn	3
HIQSOQ	Mn	2
HIQWOU	Mn	2
HIQXOV	Mn	3
HISZUE	Mn	1
HITDUK	Mn	2
HITFIB	Mn	2
HIXWOC	Mn	2
HIXZUJ	Mn	2
HIZDID	Mn	2
HOBDUZ	Mn	2
HOCREX	Mn	3
HODTUP	Mn	2
HOFZUY	Mn	2
HOGBIQ	Mn	2
HOGNEY	Mn	2
HOKWEJ	Mn	2
HONYIT	Mn	2
HONYUF	Mn	2
HOPHIE	Mn	2
HOPQIN	Mn	1
HOSTIT	Mn	2
HOSTUE	Mn	2
HOSXAP	Mn	2
HOSYIY	Mn	2
HOTCOI	Mn	2
HOTMIN	Mn	2
HOXXOJ	Mn	2
HOZWOJ	Mn	4
HUCMAU	Mn	3
HUCNUP	Mn	2
HUDGOC	Mn	2
HUDHAP	Mn	2
HUDRUU	Mn	2
HUJSAI	Mn	4
HUJZAP	Mn	4
HULXER	Mn	2
HUMZEW	Mn	2
HURHUX	Mn	2
HURJAF	Mn	2
HURSOD	Mn	2
HUTCOR	Mn	2
HUWTEA	Mn	3
HUYTOL	Mn	2
HUYTUR	Mn	2
IBAXOZ	Mn	1
IBEWET	Mn	3
IBIXIA	Mn	2
IBIYEX	Mn	2
IBODAG	Mn	2
IBUSUT	Mn	1
ICASOX	Mn	1
ICATIS	Mn	2
ICATUE	Mn	2
ICESEQ	Mn	2
ICIDIJ	Mn	2
ICORUQ	Mn	2
ICUNOL	Mn	3
ICUYAI	Mn	3
ICUYIQ	Mn	3
IDAPIN	Mn	2
IDAPUA	Mn	2
IDASUD	Mn	2
IDEFAA	Mn	2
IDEFUU	Mn	2
IDIKUD	Mn	2
IDOFAI	Mn	3
IDUFET	Mn	2
IDULOJ	Mn	2
IFOPAU	Mn	2
IFUBUG	Mn	2
IFUFIY	Mn	2
IFUKEA	Mn	3
IFUMOM	Mn	3
IGAMOS	Mn	3
IGAMUY	Mn	3
IGANAF	Mn	3
IGAZEW	Mn	2
IGELAI	Mn	2
IGOCUF	Mn	2
IGOSII	Mn	4
IGULAY	Mn	3
IGUQUY	Mn	2
IHABID	Mn	1
IHACAV	Mn	3
IHACOJ	Mn	3
IHACUP	Mn	3
IHALUZ	Mn	2
IHELAI	Mn	2
IHIGEN	Mn	1
IJIGUD	Mn	2
IJIHAK	Mn	2
IJOFUJ	Mn	2
IJOWEJ	Mn	2
IJUNUY	Mn	3
IJUPAG	Mn	3
IJUPIO	Mn	3
IKEVOL	Mn	4
IKEZAA	Mn	2
IKIVOO	Mn	2
IKIVUU	Mn	2
ILETAW	Mn	2
ILOJIC	Mn	3
ILOKAV	Mn	2
ILOKEZ	Mn	3
ILUDOJ	Mn	2
IMAFEH	Mn	2
IMEGAJ	Mn	2
IPIBUE	Mn	2
IPICEP	Mn	2
IPOGIF	Mn	2
IPOROX	Mn	1
IPORUD	Mn	2
IPOSAK	Mn	2
IPUHEH	Mn	2
IPUPER	Mn	2
IQOLUV	Mn	3
IQUCAA	Mn	2
IQUCII	Mn	2
IREHES	Mn	2
IREQUR	Mn	1
IRONOS	Mn	2
IRUXAU	Mn	2
ISAFOY	Mn	2
ISEXUC	Mn	1
ISEYAJ	Mn	1
ISEYEN	Mn	1
ISUGIM	Mn	2
ISUQUJ	Mn	1
ISURIY	Mn	1
ITEREF	Mn	3
ITERIJ	Mn	2
ITIFUN	Mn	3
ITIGUP	Mn	3
IVAGET	Mn	4
IWAKEW	Mn	2
IWOKAG	Mn	2
IWOWEX	Mn	2
IWUCAE	Mn	2
IWUCIO	Mn	2
IWUDAH	Mn	2
IWUYII	Mn	3
IXEPAE	Mn	2
IXESUA	Mn	2
IXUDIP	Mn	2
IXURUP	Mn	2
IXUSAW	Mn	3
IXUSEA	Mn	4
IXUSIE	Mn	4
IXUSOK	Mn	3
IXUSUQ	Mn	3
IYEBAQ	Mn	4
IYEREL02	Mn	2
IYOBAZ	Mn	2
IYOFAE	Mn	4
IYOFEI	Mn	4
IYUYAC	Mn	2
IYUYUW	Mn	2
IZEVUF	Mn	3
IZEXOA	Mn	2
IZOGAG	Mn	2
IZOGIO	Mn	2
IZOJEO	Mn	2
IZOVAW	Mn	2
JAFRIR	Mn	3
JAFVOB	Mn	3
JAGMEK	Mn	3
JAHBID	Mn	2
JAKNIV	Mn	2
JALZEC	Mn	2
JAMKUE	Mn	2
