refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
NOPDUT	Co	2	2	{1: 9999, 2: 6.2e-05, 3: 0.934471, 4: 9999}	3
NOPREQ	Co	2	8888	{1: 9999, 2: 0.598821, 3: 1.454128, 4: 9999}	2
NOPRIU	Co	2	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	2
NOPSCO	Co	2	2	{1: 9999, 2: 0.000112, 3: 0.990669, 4: 1.878285}	2
NOQLEL	Co	2	3	{1: 9999, 2: 9999, 3: 0.168716, 4: 9999}	1
NORCIG	Co	2	2	{1: 9999, 2: 0.285439, 3: 1.418971, 4: 9999}	2
NORFAB	Co	2	2	{1: 9999, 2: 0.010023, 3: 0.991867, 4: 9999}	2
NORKUC	Co	3	7777	{1: 9999, 2: 0.332158, 3: 0.065229, 4: 9999}	1
NOSQUJ	Co	2	7777	{1: 9999, 2: 0.244352, 3: 0.444739, 4: 9999}	1
NOSRAQ	Co	2	7777	{1: 9999, 2: 0.233905, 3: 0.464309, 4: 9999}	1
NOTTUN	Co	2	2	{1: 9999, 2: 0.109472, 3: 1.256708, 4: 9999}	2
NOTWIE	Co	2	2	{1: 9999, 2: 0.011007, 3: 1.037918, 4: 9999}	4
NOVKOY	Co	3	7777	{1: 9999, 2: 0.262974, 3: 0.113851, 4: 9999}	3
NOVKUE	Co	3	7777	{1: 9999, 2: 0.271199, 3: 0.103361, 4: 9999}	4
NOWFAI	Co	2	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	1
NOWKAL	Co	2	8888	{1: 9999, 2: 9999, 3: 1.402751, 4: 9999}	4
NOWSOJ	Co	2	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	1
NOXTAV	Co	3	3	{1: 9999, 2: 9999, 3: 0.01938, 4: 9999}	4
NOYCIN	Co	2	2	{1: 9999, 2: 0.337108, 3: 1.163907, 4: 9999}	2
NOYYIJ	Co	2	2	{1: 9999, 2: 0.014896, 3: 0.697834, 4: 9999}	3
NOZBIN	Co	9999	2	{1: 9999, 2: 0.152095, 3: 0.758865, 4: 1.634388}	3
