refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
XIXRAY	Cr	9999	3	{2: 1.216017, 3: 0.035278, 4: 9999, 5: 9999, 6: 9999}	4
XOCNAF	Cr	3	3	{2: 1.051953, 3: 0.06492, 4: 9999, 5: 9999, 6: 9999}	3
XOCNUY	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
XOHYOJ	Cr	3	3	{2: 0.850562, 3: 0.299432, 4: 9999, 5: 9999, 6: 9999}	1
XOPFAK	Cr	3	3	{2: 0.957857, 3: 0.139952, 4: 9999, 5: 9999, 6: 9999}	3
XOPGAL	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	1
XOTXEK	Cr	2	3	{2: 1.636999, 3: 0.433918, 4: 9999, 5: 9999, 6: 9999}	3
XOWQEG	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
XOZKEC	Cr	2	3	{2: 1.232446, 3: 0.050665, 4: 9999, 5: 9999, 6: 9999}	3
XOZKOM	Cr	0	3	{2: 1.358173, 3: 0.169661, 4: 9999, 5: 9999, 6: 9999}	2
XOZKUS	Cr	9999	3	{2: 1.264562, 3: 0.081137, 4: 9999, 5: 9999, 6: 9999}	3
XOZLAZ	Cr	9999	3	{2: 1.441293, 3: 0.247703, 4: 9999, 5: 9999, 6: 9999}	2
XOZLIH	Cr	3	8888	{2: 2.469025, 3: 1.233869, 4: 9999, 5: 9999, 6: 9999}	2
XUGTUO	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
XUGVAW	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	1
XUHLUJ	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XUHMIY	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
XUHNIZ	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XUJXOP	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	4
XUKPOI	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XUKQID	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XUKWAB	Cr	3	3	{2: 1.0442, 3: 0.034673, 4: 9999, 5: 9999, 6: 9999}	2
XUTCUK	Cr	3	3	{2: 1.15579, 3: 0.000586, 4: 9999, 5: 9999, 6: 9999}	3
XUTVAL	Cr	9999	3	{2: 9999, 3: 0.201768, 4: 9999, 5: 9999, 6: 9999}	2
XUTVEP	Cr	9999	3	{2: 9999, 3: 0.266481, 4: 9999, 5: 9999, 6: 9999}	3
XUXJAB	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
XUZLOV	Cr	9999	8888	{2: 2.681411, 3: 1.435079, 4: 9999, 5: 9999, 6: 9999}	3
XUZMAI	Cr	9999	8888	{2: 2.548772, 3: 1.30942, 4: 9999, 5: 9999, 6: 9999}	3
XUZZUN	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
YAKFOG	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
